ITEM NO.,UNITS,LS UNITS,DESCRIPTION
550-5302,LF,,"STORM DRAIN PIPE, 30 IN, CLASS IV"
550-5303,LF,,"STORM DRAIN PIPE, 30 IN, CLASS V"
550-5360,LF,,"STORM DRAIN PIPE, 36 IN, CLASS III"
550-5362,LF,,"STORM DRAIN PIPE, 36 IN, CLASS IV"
550-5363,LF,,"STORM DRAIN PIPE, 36 IN, CLASS V"
550-5420,LF,,"STORM DRAIN PIPE, 42 IN, CLASS III"
550-5422,LF,,"STORM DRAIN PIPE, 42 IN, CLASS IV"
550-5423,LF,,"STORM DRAIN PIPE, 42 IN, CLASS V"
550-5480,LF,,"STORM DRAIN PIPE, 48 IN, CLASS III"
550-5482,LF,,"STORM DRAIN PIPE, 48 IN, CLASS IV"
550-5483,LF,,"STORM DRAIN PIPE, 48 IN, CLASS V"
550-5540,LF,,"STORM DRAIN PIPE, 54 IN, CLASS III"
550-5542,LF,,"STORM DRAIN PIPE 54, CLASS IV"
550-5543,LF,,"STORM DRAIN PIPE, 54 IN, CLASS V"
550-5600,LF,,"STORM DRAIN PIPE, 60 IN, CLASS III"
550-5602,LF,,"STORM DRAIN PIPE, 60 IN, CLASS IV"
550-5603,LF,,"STORM DRAIN PIPE, 60 IN, CLASS V"
550-5660,LF,,"STORM DRAIN PIPE, 66 IN, CLASS III"
550-5662,LF,,"STORM DRAIN PIPE, 66 IN, CLASS IV"
550-5664,LF,,"STORM DRAIN PIPE, 66 IN, CLASS V"
550-5720,LF,,"STORM DRAIN PIPE, 72 IN, CLASS III"
550-5722,LF,,"STORM DRAIN PIPE, 72 IN, CLASS IV"
550-5723,LF,,"STORM DRAIN PIPE, 72 IN, CLASS V"
550-5780,LF,,"STORM DRAIN PIPE, 78 IN, CLASS III"
550-5840,LF,,"STORM DRAIN PIPE, 84 IN, CLASS III"
550-5842,LF,,"STORM DRAIN PIPE, 84 IN, CLASS IV"
550-5844,LF,,"STORM DRAIN PIPE, 84 IN, CLASS V"
550-5900,LF,,"STORM DRAIN PIPE, 90 IN, CLASS III"
550-5960,LF,,"STORM DRAIN PIPE, 96 IN, CLASS III"
550-5965,LF,,"STORM DRAIN PIPE, 108 IN, CLASS III"
550-5970,LF,,"STORM DRAIN PIPE, 120 IN, CLASS III"
550-6008,LF,,"STORM DRAIN PIPE, 8 IN, CLASS III, TEMPORARY"
550-6010,LF,,"STORM DRAIN PIPE, 10 IN, CLASS III, TEMPORARY"
550-6012,LF,,"STORM DRAIN PIPE, 12 IN, CLASS III, TEMPORARY"
550-6015,LF,,"STORM DRAIN PIPE, 15 IN, CLASS III, TEMPORARY"
550-6017,LF,,"STORM DRAIN PIPE, 15 IN, CLASS IV, TEMPORARY"
550-6019,LF,,"STORM DRAIN PIPE, 15 IN, CLASS V, TEMPORARY"
550-6020,LF,,"STORM DRAIN PIPE, 18 IN, CLASS III, TEMPORARY"
550-6022,LF,,"STORM DRAIN PIPE, 18 IN, CLASS IV, TEMPORARY"
550-6024,LF,,"STORM DRAIN PIPE, 18 IN, CLASS V, TEMPORARY"
550-6026,LF,,"STORM DRAIN PIPE, 24 IN, CLASS III, TEMPORARY"
550-6028,LF,,"STORM DRAIN PIPE, 24 IN, CLASS IV, TEMPORARY"
550-6030,LF,,"STORM DRAIN PIPE, 24 IN, CLASS V, TEMPORARY"
550-6032,LF,,"STORM DRAIN PIPE, 30 IN, CLASS III, TEMPORARY"
550-6034,LF,,"STORM DRAIN PIPE, 30 IN, CLASS IV, TEMPORARY"
550-6036,LF,,"STORM DRAIN PIPE, 30 IN, CLASS V, TEMPORARY"
550-6038,LF,,"STORM DRAIN PIPE, 36 IN, CLASS III, TEMPORARY"
550-6040,LF,,"STORM DRAIN PIPE, 36 IN, CLASS IV, TEMPORARY"
550-6042,LF,,"STORM DRAIN PIPE, 36 IN, CLASS V, TEMPORARY"
550-6044,LF,,"STORM DRAIN PIPE, 42 IN, CLASS III, TEMPORARY"
550-6046,LF,,"STORM DRAIN PIPE, 42 IN, CLASS IV, TEMPORARY"
550-6048,LF,,"STORM DRAIN PIPE, 42 IN, CLASS V, TEMPORARY"
550-6050,LF,,"STORM DRAIN PIPE, 48 IN, CLASS III, TEMPORARY"
550-6052,LF,,"STORM DRAIN PIPE, 48 IN, CLASS IV, TEMPORARY"
550-6054,LF,,"STORM DRAIN PIPE, 48 IN, CLASS V, TEMPORARY"
550-6056,LF,,"STORM DRAIN PIPE, 54 IN, CLASS III, TEMPORARY"
550-6058,LF,,"STORM DRAIN PIPE, 54 IN, CLASS IV, TEMPORARY"
550-6060,LF,,"STORM DRAIN PIPE, 54 IN, CLASS V, TEMPORARY"
550-6062,LF,,"STORM DRAIN PIPE, 60 IN, CLASS III, TEMPORARY"
550-6064,LF,,"STORM DRAIN PIPE, 60 IN, CLASS IV, TEMPORARY"
550-6066,LF,,"STORM DRAIN PIPE, 60 IN, CLASS V, TEMPORARY"
550-6068,LF,,"STORM DRAIN PIPE, 66 IN, CLASS III, TEMPORARY"
550-6070,LF,,"STORM DRAIN PIPE, 66 IN, CLASS IV, TEMPORARY"
550-6071,LF,,"STORM DRAIN PIPE, 66 IN, CLASS V, TEMPORARY"
550-6072,LF,,"STORM DRAIN PIPE, 72 IN, CLASS III, TEMPORARY"
550-6074,LF,,"STORM DRAIN PIPE, 72 IN, CLASS IV, TEMPORARY"
550-6076,LF,,"STORM DRAIN PIPE, 72 IN, CLASS V, TEMPORARY"
550-6078,LF,,"STORM DRAIN PIPE, 78 IN, CLASS III, TEMPORARY"
550-6080,LF,,"STORM DRAIN PIPE, 84 IN, CLASS III, TEMPORARY"
550-6082,LF,,"STORM DRAIN PIPE, 84 IN, CLASS IV, TEMPORARY"
550-6084,LF,,"STORM DRAIN PIPE, 84 IN, CLASS V, TEMPORARY"
550-6086,LF,,"STORM DRAIN PIPE, 90 IN, CLASS III, TEMPORARY"
550-6088,LF,,"STORM DRAIN PIPE, 96 IN, CLASS III, TEMPORARY"
550-6090,LF,,"STORM DRAIN PIPE, 108 IN, CLASS III, TEMPORARY"
550-6092,LF,,"STORM DRAIN PIPE, 120 IN, CLASS III, TEMPORARY"
550-6108,LF,,"SIDE DRAIN PIPE, 8 IN, H 1-10, TEMPORARY"
550-6111,LF,,AVAILABLE ITEM NUMBER
550-6120,LF,,"SIDE DRAIN PIPE, 12 IN, H 1-10, TEMPORARAY"
550-6150,LF,,"SIDE DRAIN PIPE, 15 IN, H 1-10, TEMPORARY"
550-6180,LF,,"SIDE DRAIN PIPE, 18 IN, H 1-10, TEMPORARY"
550-6181,LF,,"SIDE DRAIN PIPE, 18 IN, H 10-15, TEMPORARY"
550-6182,LF,,"SIDE DRAIN PIPE, 18 IN, H 15-20, TEMPORARY"
550-6240,LF,,"SIDE DRAIN PIPE, 24 IN, H 1-10, TEMPORARY"
550-6241,LF,,"SIDE DRAIN PIPE, 24 IN, H 10-15, TEMPORARY"
550-6242,LF,,"SIDE DRAIN PIPE, 24 IN, H 15-20, TEMPORARY"
550-6243,LF,,"SIDE DRAIN PIPE, 24 IN, H 20-25 TEMPORARY"
550-6300,LF,,"SIDE DRAIN PIPE, 30 IN, H 1-10, TEMPORARY"
550-6301,LF,,"SIDE DRAIN PIPE, 30 IN, H 10-15, TEMPORARY"
550-6302,LF,,"SIDE DRAIN PIPE, 30 IN, H 15-20, TEMPORARY"
550-6360,LF,,"SIDE DRAIN PIPE, 36 IN, H 1-10, TEMPORARY"
550-6361,LF,,"SIDE DRAIN PIPE, 36 IN, H 15-20, TEMPORARY"
550-6420,LF,,"SIDE DRAIN PIPE, 42 IN, H 1-10, TEMPORARY"
550-6480,LF,,"SIDE DRAIN PIPE, 48 IN, H 1-10, TEMPORARY"
550-6540,LF,,"SIDE DRAIN PIPE, 54 IN, H 1-10, TEMPORARY"
550-6600,LF,,"SIDE DRAIN PIPE, 60 IN, H 1-10, TEMPORARY"
550-6720,LF,,"SIDE DRAIN PIPE, 72 IN, H 1-10, TEMPORARY"
550-6802,EA,,"FLARED END SECTION, 12 IN, SIDE DRAIN, TEMPORARY"
550-6804,EA,,"FLARED END SECTION, 15 IN, SIDE DRAIN, TEMPORARY"
550-6806,EA,,"FLARED END SECTION, 18 IN, SIDE DRAIN, TEMPORARY"
550-6808,EA,,"FLARED END SECTION, 24 IN, SIDE DRAIN, TEMPORARY"
550-6810,EA,,"FLARED END SECTION, 30 IN, SIDE DRAIN, TEMPORARY"
550-6812,EA,,"FLARED END SECTION, 36 IN, SIDE DRAIN, TEMPORARY"
550-6814,EA,,"FLARED END SECTION, 42 IN, SIDE DRAIN, TEMPORARY"
550-6816,EA,,"FLARED END SECTION, 12 IN, STORM DRAIN, TEMPORARY"
550-6818,EA,,"FLARED END SECTION, 15 IN, STORM DRAIN, TEMPORARY"
550-6820,EA,,"FLARED END SECTION, 18 IN, STORM DRAIN, TEMPORARY"
550-6822,EA,,"FLARED END SECTION, 24 IN, STORM DRAIN, TEMPORARY"
550-6824,EA,,"FLARED END SECTION, 30 IN, STORM DRAIN, TEMPORARY"
550-6826,EA,,"FLARED END SECTION, 36 IN, STORM DRAIN, TEMPORARY"
550-6828,EA,,"FLARED END SECTION, 42 IN, STORM DRAIN, TEMPORARY"
550-6830,EA,,"FLARED END SECTION, 48 IN, STORM DRAIN, TEMPORARY"
550-6832,EA,,"FLARED END SECTION, 10 IN, SLOPE DRAIN, TEMPORARY"
550-6834,EA,,"FLARED END SECTION, 15 IN, SLOPE DRAIN, TEMPORARY"
550-6836,EA,,"FLARED END SECTION, 18 IN, SLOPE DRAIN, TEMPORARY"
550-6838,EA,,"FLARED END SECTION, 24 IN, SLOPE DRAIN, TEMPORARY"
550-6840,EA,,"FLARED END SECTION, 30 IN, SLOPE DRAIN, TEMPORARY"
550-6842,EA,,"FLARED END SECTION, 36 IN, SLOPE DRAIN, TEMPORARY"
550-6844,EA,,"FLARED END SECTION, 42 IN, SLOPE DRAIN, TEMPORARY"
550-9000,LF,,VIDEO INSPECTION
555-1006,LF,,"TUNNEL LINER 72 IN, .164 PLATE TK, 4 FLANGE"
560-0020,LF,,"STRUCTURAL PLATE PIPE ARCH, 7 FT 3 IN X 5 FT 3 IN"
560-9000,LS,,"STRUCTURAL PLATE ARCH CLVT, STR NO -"
561-0010,LF,,"RENOVATING EXISTING PIPE, INCH -"
561-0136,LF,* * * Requires Special Provision * * *,"RENOVATING EXISTING PIPE, PVC PIPE LINER, 36 IN DIA"
561-1008,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 8 INCH"
561-1009,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 9 INCH"
561-1010,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 10 INCH"
561-1012,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 12 INCH"
561-1015,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 15 INCH"
561-1018,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 18 INCH"
561-1021,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 21 INCH"
561-1024,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 24 INCH"
561-1027,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 27 INCH"
561-1030,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 30 INCH"
561-1033,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 33 INCH"
561-1036,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 36 INCH"
561-1042,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 42 INCH"
561-1048,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 48 INCH"
561-1054,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 54 INCH"
561-1060,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 60 INCH"
561-1066,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 66 INCH"
561-1072,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 72 INCH"
561-1078,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 78 INCH"
561-1084,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 84 INCH"
561-1090,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 90 INCH"
561-1096,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 96 INCH"
561-1102,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 102 INCH"
561-1108,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 108 INCH"
561-1120,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 120 INCH"
561-2024,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, 0 - 24 IN"
561-2042,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, OVER 24 IN UP TO 42 IN"
561-2099,LF,* * * Requires Special Provision * * *,"PIPE RENOVATION WITH EXPANDABLE PIPELINER, OVER 42 IN"
570-1000,LS,,"CONSTR, MAINT & REMOVE DETOUR DRAINAGE STR, NO -"
572-1000,LF,* * * Requires Special Provision * * *,SLOPE UNDERDRAINS
573-1004,LF,,"UNDDR PIPE ONLY, 4 IN"
573-1006,LF,,"UNDDR PIPE ONLY, 6 IN"
573-1010,LF,,"UNDDR PIPE ONLY, 10 IN"
573-2004,LF,,"UNDDR PIPE INCL DRAINAGE AGGR, 4 IN"
573-2006,LF,,"UNDDR PIPE INCL DRAINAGE AGGR, 6 IN"
573-2008,LF,,"UNDDR PIPE INCL DRAINAGE AGGR, 8 IN"
573-2010,LF,,"UNDDR PIPE INCL DRAINAGE AGGR, 10 IN"
573-2012,LF,,"UNDDR PIPE INCL DRAINAGE AGGR, 12 IN"
574-0206,LF,,"EDGEDRAIN PIPE, INCL BKFILL MATL & FILTER FABRIC 6 IN"
574-0212,LF,,"EDGEDRAIN PIPE, INCL BKFILL MATL & FILTER FABRIC 12 IN"
576-1006,LF,,"SLOPE DRAIN PIPE, 6 IN"
576-1008,LF,,"SLOPE DRAIN PIPE, 8 IN"
576-1010,LF,,"SLOPE DRAIN PIPE, 10 IN"
576-1012,LF,,"SLOPE DRAIN PIPE, 12 IN"
576-1015,LF,,"SLOPE DRAIN PIPE, 15 IN"
576-1018,LF,,"SLOPE DRAIN PIPE, 18 IN"
576-1024,LF,,"SLOPE DRAIN PIPE, 24 IN"
576-1030,LF,,"SLOPE DRAIN PIPE, 30 IN"
576-1036,LF,,"SLOPE DRAIN PIPE, 36 IN"
576-1042,LF,,"SLOPE DRAIN PIPE, 42 IN"
576-1048,LF,,"SLOPE DRAIN PIPE, 48 IN"
577-1100,EA,,METAL DRAIN INLET - COMPLETE ASSEMBLY
581-1000,EA,,"POT BEARING, BR NO -"
581-1005,EA,,"DISK BEARING, BR NO -"
590-1000,SY,* * * Requires Special Provision * * *,FIBER REINFORCED POLYMER (CARBON) BR NO-
600-0001,CY,,FLOWABLE FILL
600-0020,CY,* * * Requires Special Provision * * *,LIGHTWEIGHT FLOWABLE FILL
602-4030,CY,* * * Requires Special Provision * * *,MODULAR BACKFILL MATL
602-4040,CY,* * * Requires Special Provision * * *,CONC FOOTING
602-4061,LF,* * * Requires Special Provision * * *,"PRECAST PARAPET, TP A"
603-0006,SY,,"STONE BLANKET PROTECTION, 6 IN"
603-1012,SY,,"STN PLAIN RIP RAP, 12 IN"
603-1018,SY,,"STN PLAIN RIP RAP, 18 IN"
603-1024,SY,,"STN PLAIN RIP RAP, 24 IN"
603-1050,TN,* * * Requires Special Provision * * *,"STONE PLAIN RIP RAP FOR STREAM DETAILS, TYPE A"
603-1056,TN,* * * Requires Special Provision * * *,"STONE PLAIN RIP RAP FOR STREAM DETAILS, TYPE D"
603-1058,TN,* * * Requires Special Provision * * *,"STONE PLAIN RIP RAP FOR STREAM DETAILS, TYPE E"
603-1059,TN,* * * Requires Special Provision * * *,"STONE PLAIN RIP RAP, FOR STREAM DETAILS, TYPE (NO. 57)"
603-1224,SY,,"STN GROUTED RIP RAP, 24 IN"
603-1300,TN,* * * Requires Special Provision * * *,ROCK RIP RAP
603-2012,SY,,"STN DUMPED RIP RAP, TP 1, 12 IN"
603-2018,SY,,"STN DUMPED RIP RAP, TP 1, 18 IN"
603-2024,SY,,"STN DUMPED RIP RAP, TP 1, 24 IN"
603-2030,SY,,"STN DUMPED RIP RAP, TP 1, 30 IN"
603-2036,SY,,"STN DUMPED RIP RAP, TP 1, 36 IN"
603-2048,SY,,"STN DUMPED RIP RAP, TP 1, 48 IN"
603-2060,SY,,"STN DUMPED RIP RAP, TP 1, 60 IN"
603-2180,SY,,"STN DUMPED RIP RAP, TP 3, 12 IN"
603-2181,SY,,"STN DUMPED RIP RAP, TP 3, 18 IN"
603-2182,SY,,"STN DUMPED RIP RAP, TP 3, 24 IN"
603-2184,SY,,"STN DUMPED RIP RAP, TP 3, 30 IN"
603-2186,SY,,"STN DUMPED RIP RAP, TP 3, 36 IN"
603-2997,SY,,FILTER BLANKET
603-6006,SY,,"SAND-CEMENT BAG RIP RAP, 6 IN"
603-6008,SY,,"SAND-CEMENT BAG RIP RAP, 8 IN"
603-6012,SY,,"SAND-CEMENT BAG RIP RAP, 12 IN"
603-7000,SY,,PLASTIC FILTER FABRIC
607-1000,CY,,MORTAR RUBBLE MASONRY
607-3000,SF,* * * Requires Special Provision * * *,STONE FACING
607-4000,LS,* * * Requires Special Provision * * *,STONE WALKWAY
607-4100,LS,* * * Requires Special Provision * * *,STONE SEAT WALL
608-1000,CY,,BRICK MASONRY
608-1010,L S,,BRICK MASONRY
608-1050,M,,BRICK MASONRY
608-2000,M,,BRICK MASONRY
608-3000,EA,* * * Requires Special Provision * * *,BRICK PIER
608-4000,LF,* * * Requires Special Provision * * *,BRICK WALL
608-4500,LS,* * * Requires Special Provision * * *,BRICK WALL
609-1000,SY,,REMOVE ROADWAY SLAB
610-0002,LS,,"REM BUILDING, STA -"
610-0007,LS,,REMOVE BUILDING
610-0013,LS,,"REM STRUCTURES, PARCEL NO -"
610-0016,LF,,REMOVE AND RELAY REINF CONC PIPE
610-0018,EA,,REM STANDARD FOUNDATION
610-0020,EA,,REM HIGHMAST TOWER FOUNDATION
610-0100,LF,,REM BARBED WIRE FENCE
610-0110,EA,,REM BUS SHELTER
610-0200,LF,,"REM CH LK FENCE, ALL SIZES & TYPES"
610-0209,LF,,"REM CHAIN LINK FENCE, 4 FT"
610-0213,LF,,"REM CHAIN LINK FENCE, 6 FT"
610-0215,LF,,"REM CHAIN LINK FENCE, 6 FT W/BARBED WIRE & EXT ARMS"
610-0220,LF,,REM WOOD FENCE
610-0225,EA,,REM WOOD POLE
610-0300,LF,,REM FENCE -
610-0301,EA,,REM GATE -
610-0305,EA,,REM ALUM GATE -
610-0306,EA,,REM METAL GATE -
610-0340,LF,,REM CONC CURB ALL SIZES
610-0355,LF,,REM CONC CURB & GUTTER ALL SIZES
610-0400,LF,,REM CONC HDR CURB ALL SIZES
610-0500,LF,,REM EXISTING CABLE
610-0510,LF,,REM EXISTING CONDUIT
610-0520,EA,,REMOVE ELECTRICAL SERVICE POINT
610-0714,SY,,REM CONC MEDIAN
610-0716,LF,,REM CONC MEDIAN BARRIER
610-0717,LF,,REM PRECAST CONC MEDIAN BARRIER
610-0719,LF,,REM CONC SIDE BARRIER
610-0725,LF,,REMOVE GLARE SCREEN -
610-0810,SF,,REMOVE SOUND BARRIER
610-0815,EA,,REM & FILL EXIST SAN SEWER MANHOLE
610-0959,LF,,REMOVE PIPE -
610-1005,LF,,REM GRANITE CURB ALL SIZES
610-1006,EA,,REM GRANITE STEP
610-1007,LS,* * * Requires Special Provision * * *,REMOVE GRANITE STONE
610-1010,EA,* * * Requires Special Provision * * *,REMOVE COLUMN
610-1050,EA,,REM GUARDRAIL IMPACT ATTENUATOR
610-1051,EA,,REM IMPACT ATTENUATOR -
610-1055,LF,,REM GUARDRAIL
610-1065,LF,,REM GUARDRAIL DBL FACE
610-1066,EA,,"REM GUARDRAIL ANCH, TP 1"
610-1067,EA,,"REM GUARDRAIL ANCH, TP 2"
610-1068,EA,,"REM GUARDRAIL ANCH, TP 3"
610-1071,EA,,"REM GUARDRAIL ANCH, TP 6"
610-1074,EA,,"REM GUARDRAIL ANCH, TP 9"
610-1075,EA,,"REM GUARDRAIL ANCH, ALL TYPES"
610-1076,EA,,REM GUARDRAIL ANCH -
610-1575,LF,,REM PIPE HANDRAIL ALL SIZES
610-1700,LF,,REM SAN SEWER PIPE -
610-1725,LF,,"REM SAN SEWER PIPE, 8 IN"
610-1730,LF,,"REM SAN SEWER PIPE, 10 IN"
610-1735,LF,,"REM SAN SEWER PIPE, 12 IN"
610-1745,LF,,"REM SAN SEWER PIPE, 18 IN"
610-1755,LF,,"REM SAN SEWER PIPE, 24 IN"
610-1770,LF,,"REM SAN SEWER PIPE, 48 IN"
610-1840,LF,,REMOVE ASBESTOS CEMENT PIPE
610-1850,LF,,REM SLOPE DRAIN PIPE
610-1880,LF,,REM STORM DRAIN PIPE
610-1890,LF,,REM SIDE DRAIN PIPE
610-1895,EA,,REMOVE SAFETY END SECTION
610-2355,LF,,"REMOVE WATER MAIN, 2 IN"
610-2360,LF,,"REMOVE WATER MAIN, 4 IN"
610-2365,LF,,"REMOVE WATER MAIN, 6 IN"
610-2370,LF,,"REMOVE WATER MAIN, 8 IN"
610-2375,LF,,"REMOVE WATER MAIN, 10 IN"
610-2380,LF,,"REMOVE WATER MAIN, 12 IN"
610-2383,LF,,"REMOVE WATER MAIN, 12 INCHES OR LESS"
610-2385,LF,,"REMOVE WATER MAIN, 16 IN"
610-2395,LF,,"REMOVE WATER MAIN, 20 IN"
610-2396,LF,,"REMOVE WATER MAIN, 36 IN"
610-2397,LF,,"REMOVE WATER MAIN, 24 IN"
610-2398,LF,,"REMOVE WATER MAIN, 30 IN"
610-2399,LF,,"REMOVE WATER MAIN, 48 IN"
610-2400,LF,,REM WOVEN WIRE FENCE
610-2401,LF,,"REM WOVEN WIRE FENCE, INCL POSTS"
610-2402,EA,,REM WOVEN WIRE FENCE GATE
610-2586,SY,,REM ASPH PVMT INCL BASE
610-2587,SY,,REM ASPH SHLDR PVMT INCL BASE
610-2700,SY,,REM CONCRETE
610-2705,SY,,REM CONC APPROACH SLAB
610-2735,SY,,REM CONC DITCH PAVING
610-2765,SY,,REM CONC FLUME
610-2805,SY,,REM CONC MEDIAN PAVING
610-2815,SY,,REM CONC SIDEWALK
610-2845,SY,,REM CONC PVMT
610-4170,CY,,"REM ASPH PVMT, INCL BASE"
610-5705,EA,,REM CATCH BASIN
610-5715,EA,,"REM CATCH BASIN, DROP INLET OR JCT BOX"
610-5780,EA,,REM CH LK FENCE GATE - 12' X 6'
610-5785,EA,,"REM CH LK FENCE GATE, DBL 10 FT X 6 FT"
610-5787,LF,,REMOVE SECURITY CHAIN LINK FENCE
610-5788,EA,,REMOVE CHAIN LINK FENCE GATE-
610-5790,EA,,"REM CHAIN LINK FENCE GATE, 6 FT"
610-5791,LF,,REMOVE CHAIN FENCE
610-5810,LS,* * * Requires Special Provision * * *,REMOVE MAIN SERVICE PICK UP POINT - NO. 1
610-5815,EA,* * * Requires Special Provision * * *,REMOVE HIGHMAST LIGHT TOWER
610-5825,EA,,REM CONC CLVT WINGWALL
610-5828,EA,,REM CONC HDWL ALL SIZES
610-5885,EA,,REM CONC MONUMENT
610-5905,EA,,REM CONC R/W MARKER
610-5910,EA,,REM CONC SPILLWAY
610-5953,EA,,REM DELINEATOR
610-5955,EA,,REM DRINKING FOUNTAIN & CAP OFF
610-6015,EA,,REM DROP INLET
610-6060,EA,,REMOVE ELECTRICAL JUNCTION BOX
610-6150,EA,,REM FLAGPOLE
610-6155,EA,,REM FLARED END SECTION
610-6305,EA,,"REM GRATE, RING & PORTION OF MANHOLE"
610-6510,EA,,"REM HWY SIGN, OVHD"
610-6512,EA,,REM HEADWALL -
610-6515,EA,,"REM HIGHWAY SIGN, STD"
610-6520,EA,,"REM HIGHWAY SIGN, SPCL ROADSIDE"
610-6545,EA,,"REMOVE HISTORIC MARKER, CAST IRON"
610-6555,EA,,"REMOVE HISTORIC MARKER, CONC"
610-6560,EA,,"REMOVE HISTORIC MARKER, STONE"
610-6575,EA,,REM HYDRANT
610-6605,EA,,REM LIGHTING STANDARD
610-6610,EA,,REM LUMINARE
610-6611,EA,,REMOVE LUMINAIRE ARM
610-6625,EA,,REM MANHOLE
610-6850,LS,* * * Requires Special Provision * * *,REMOVE LIFT STATION
610-6865,EA,,REM SERVICE POLE RISER
610-6866,EA,,"REM WOOD POLE, INCL ARM AND LUMINAIRE"
610-6872,EA,,REM STEEL STRAIN POLE
610-6873,EA,,REM CONCRETE STRAIN POLE
610-6874,EA,,REM WOOD POLE
610-6945,EA,,REM RAISED PAVEMENT MARKER
610-7010,EA,* * * Requires Special Provision * * *,REMOVE WATER METER
610-7015,EA,* * * Requires Special Provision * * *,REMOVE VAULT
610-9000,LS,,"REM SIGN, STA -"
610-9001,EA,,REM SIGN
610-9005,LS,,REM PORTIONS OF EXISTING RETAINING WALL -
610-9006,LS,,"REM PORTIONS OF EXISTING WINGWALLS & PARAPETS, STA -"
610-9007,LS,,"REM PORTIONS OF EXISTING CLVT, CONC, STA -"
610-9008,LS,,"REM PORTIONS OF EXISTING CLVT, INCL WINGWALLS & PARAPETS, STA -"
610-9095,LS,,"REM WINGWALLS & PARAPETS, MP -"
610-9097,LS,,"REM WINGWALLS, STA -"
610-9099,LS,,"REM WINGWALLS & PARAPETS, STA -"
610-9220,LS,,"REM CLVT, TIMBER, STA -"
610-9230,LS,,"REM CLVT, CONCRETE, STA -"
610-9245,LS,,"REM CLVT, CONC & RUBBLE MASONRY, STA -"
610-9310,LS,,"REM STR SUPPORT, TP -"
610-9401,LS,,"REM STR SUPPORT, TYPE 1, INCL ILLUM SIGN SYSTEM, STA -"
610-9402,LS,,"REM STR SUPPORT, TYPE 2, INCL ILLUM SIGN SYSTEM, STA -"
610-9403,LS,,"REM STR SUPPORT, TYPE 3, INCL ILLUM SIGN SYSTEM, STA -"
610-9405,LS,,"REM STR SUPPORT, TYPE 5, INCL ILLUM SIGN SYSTEM, STA -"
610-9407,LS,,"REM STR SUPPORT, TYPE 7, INCL ILLUM SIGN SYSTEM, STA -"
610-9410,LS,,"REMOVE ILLUMINATED SIGN SYSTEM, STA -"
610-9460,EA,,REMOVE STREET POLE WITH BANNER
610-9500,LS,,"REM DETOUR, STA -"
610-9600,EA,* * * Requires Special Provision * * *,REMOVE HURRICANE GATES
610-9850,LS,,REM TOLL PLAZA AND TOLL BOOTHS
610-9860,LS,,REM TOLLING EQUIPMENT AND OTHER MISCELLANEOUS ITEMS
610-9905,EA,* * * Requires Special Provision * * *,REMOVE AIR RELEASE VALVE ASSEMBLY
610-9910,EA,* * * Requires Special Provision * * *,REMOVE EXIST AIR RELEASE VALVE ASSEMBLY
